date, pm25, pm10, o3, no2, so2, co
2025/5/2, 39, 19, 20, 12, , 1
2025/5/3, 44, 23, 28, 15, , 2
2025/5/4, 61, 23, 27, 10, , 1
2025/5/5, 61, 41, 21, 17, , 2
2025/5/6, 53, 31, 15, 24, , 5
2025/5/7, 71, 32, 18, 24, , 4
2025/5/8, 68, 32, 19, 26, , 10
2025/5/9, 72, 33, 22, 20, , 6
2025/5/10, 55, 33, 7, 14, , 2
2025/5/11, 32, 31, 12, 6, , 1
2025/5/12, 17, 13, 10, 9, , 1
2025/5/13, 30, 15, 12, 11, , 2
2025/5/14, 35, 17, 12, 13, , 2
2025/5/15, 29, 25, 14, 18, , 1
2025/5/16, 47, 29, 15, 21, , 3
2025/5/17, 58, 36, 19, 19, , 4
2025/5/18, 63, 29, 19, 15, , 7
2025/5/19, 57, 35, 13, 24, , 8
2025/5/20, 56, 44, 17, 27, , 10
2025/5/21, 67, 49, 25, 27, , 8
2025/5/22, 95, 33, 19, 21, , 6
2025/5/23, 73, 12, 6, 12, , 2
2025/5/24, 18, 11, 10, 8, , 1
2025/5/25, 27, 18, 19, 12, , 2
2025/5/26, 38, 33, 15, 21, , 7
2025/5/27, 55, 33, 11, 17, , 7
2025/5/28, 51, 28, 10, 10, , 1
2025/5/29, 30, 19, 9, 13, , 4
2025/5/30, 22, 36, 12, 19, , 7
2025/5/31, 60, 28, 19, 15, , 1
2025/6/1, 55, , , , , 
2025/4/2, 55, 28, 39, 17, , 2
2025/4/3, 44, 22, 21, 16, , 4
2025/4/4, 28, 17, 14, 18, , 7
2025/4/5, 18, 14, 9, , , 3
2025/4/6, 56, 17, 12, , , 5
2025/4/8, 15, 27, 24, 27, , 5
2025/4/9, 52, 29, 18, 20, , 5
2025/4/10, 43, 18, 7, 20, , 3
2025/4/11, 43, 16, 17, 18, , 4
2025/4/14, 34, 9, 7, , , 1
2025/4/15, 16, 15, 20, 16, , 1
2025/4/16, 38, 26, 18, 20, , 2
2025/4/17, 57, 24, 19, 17, , 2
2025/4/18, 57, 13, 21, 11, , 1
2025/4/19, 35, 12, 17, 13, , 3
2025/4/20, 29, 8, 13, 5, , 1
2025/4/21, 24, 8, 14, 5, , 1
2025/4/22, 22, 12, 14, 9, , 1
2025/4/23, 33, 20, 14, 14, , 1
